,datetime,tweetid,text,username,userid,value
0,Thu Apr 06 00:51:45 +0000 2017,8.49786670769738E+017,"RT @polisen_skane: 2017-04-06 00:49, Skottlossning, Malmö Skott mot lägenhet, Malmö https://t.co/QF2p3xEFkj",cinaed,2161015418,none
1,Thu Apr 06 04:25:20 +0000 2017,8.49840421597577E+017,"Polis fick samtal om smällar i går kväll:
https://t.co/qRwrQtAZcG #svtuppsala",SVT Nyheter Uppsala,2863677953,none
2,Thu Apr 06 04:51:29 +0000 2017,8.4984700243114E+017,"Runt 20 skott har avlossats mot en lägenhet på Professorsgatan i Malmö.
– Det var folk hemma i lägenheten när den... https://t.co/JhsQxoACvO",Nordic News Center,633610122,none
3,Thu Apr 06 08:30:24 +0000 2017,8.49902093330559E+017,RT @Reklamprofessor: Malmö samlar stadens goda krafter efter ännu en skottlossning mot ett utsatt balkongfönster. https://t.co/1sbiQcX62I,Ulf Åkesson,7.80465044102509E+017,none
4,Thu Apr 06 19:48:39 +0000 2017,8.50072783115637E+017,Vild skottlossning i Trollhättan #asylkaos #svpol https://t.co/GOVJfdrVb7,GunillaJohansson,24128953,none
5,Thu Apr 06 19:51:32 +0000 2017,8.50073508512223E+017,"RT @NPiketen: Skottlossning Malmö 39 skott mot flerfamiljshus i Malmö.
(Rapport aktuellt INGEN NYHET)  

@svtnyheter 
#svpol #särpol 
#migp…",Rikard Branting,62354300,none
6,Thu Apr 06 05:56:22 +0000 2017,8.49863329640325E+017,Runt 20 skott har avlossats mot en lägenhet på Professorsgatan i Malmö. https://t.co/0X4y5qqpCU https://t.co/AJyixEUPWw,SVT Nyheter Skåne,276900758,none
7,Thu Apr 06 08:09:56 +0000 2017,8.49896944940056E+017,Malmö samlar stadens goda krafter efter ännu en skottlossning mot ett utsatt balkongfönster. https://t.co/1sbiQcX62I,Reklamprofessorn,7.02828687436161E+017,neg
8,Thu Apr 06 00:24:09 +0000 2017,8.49779724687638E+017,NYTT! #nyheter #sverige Flera larm om skottlossning – polisen hittade inget - Aftonbladet https://t.co/8iUUM3sdCW,NyheteriFokus,29410011,neg
9,Thu Apr 06 06:21:21 +0000 2017,8.49869619003314E+017,"Skottlossning,  misstänkt, Edsberg, Sollentuna, Stockholms län
Edsberg. Samtal kommer om misstänkt… #polisen #brott
https://t.co/Ai0pujSIi2",Brott i Stockholm,8.138159043625E+017,none
10,Thu Apr 06 22:36:52 +0000 2017,8.501151136717E+017,"Skottlossning på Sylte - man skjuten i benet

Nej....det är inte jag som skjutits.... https://t.co/ttkPmodwbe",Jan Andersson,562029988,none
11,Thu Apr 06 19:58:51 +0000 2017,8.50075347660022E+017,"Ljudlig smäll utanför. Hör uppspelta barnröster, så kanske inte skottlossning. Irriterande att det sker så ofta.",Mylar Malade,8.08675726316765E+017,none
12,Fri Apr 07 08:18:31 +0000 2017,8.50261492662321E+017,RT @ystad: Katt utsatt för skottlossning – polisen söker gärningsman https://t.co/tjxozlYx5c #YAnyhet #svkrim https://t.co/kOCQd237H5,Nisse psson,925161145,none
13,Fri Apr 07 13:22:53 +0000 2017,8.50338088014549E+017,Skottlossning på Kungsgatan #säkpol,Ekbohm,1276017595,pos
14,Fri Apr 07 13:27:29 +0000 2017,8.50339247232098E+017,RT @mottfull: Vittnesuppgifter om skottlossning enligt SVT. Polisen ropar ut varningar om terrordåd.,Sonny GG Karlsson,39512178,pos
15,Fri Apr 07 13:24:35 +0000 2017,8.50338517557359E+017,RT @ekbohm: Skottlossning på Kungsgatan #säkpol,Lennart,2848579143,pos
16,Fri Apr 07 13:23:23 +0000 2017,8.50338216075035E+017,RT @ekbohm: Skottlossning på Kungsgatan #säkpol,Säkpol_SE,2914427715,pos
17,Fri Apr 07 04:41:18 +0000 2017,8.50206826373104E+017,"RT @NPiketen: Skottlossning Malmö 39 skott mot flerfamiljshus i Malmö.
(Rapport aktuellt INGEN NYHET)  

@svtnyheter 
#svpol #särpol 
#migp…",Henning Munk,4185038309,none
18,Fri Apr 07 06:20:14 +0000 2017,8.5023172327098E+017,Man anhållen för skjutning i Trollhättan - Göteborgs-Posten https://t.co/5Wj2wWM8pE,Google News Sverige,254584350,none
19,Fri Apr 07 06:15:34 +0000 2017,8.50230548760887E+017,#Nyheter #Världen Man anhållen för skjutning i Trollhättan - Göteborgs-Posten https://t.co/S8SeFgOiht,NyheteriFokus,29410011,none
20,Fri Apr 07 13:27:25 +0000 2017,8.5033923044644E+017,Nya uppgifter om skottlossning i Stockholms city. Lastbil har dödat minst tre döda enligt @sr_ekot .,Fria Tider,99128675,pos
21,Fri Apr 07 04:19:46 +0000 2017,8.50201410603844E+017,Man anhållen för skjutning i Trollhättan - Sveriges Radio https://t.co/v8ZzExKlcJ,Google News Sverige,254584350,none
22,Fri Apr 07 12:59:39 +0000 2017,8.50332242052342E+017,Vad händer på Drottninggatan just nu? Skottlossning?,Johan Forsberg,5430382,pos
23,Fri Apr 07 13:42:43 +0000 2017,8.50343081044058E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",dilnaz,314664732,pos
24,Fri Apr 07 13:42:31 +0000 2017,8.50343031396082E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,Tatiana Maksimova,3070151882,pos
25,Fri Apr 07 13:42:00 +0000 2017,8.50342901494297E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Anne Skantz,2809771095,pos
26,Fri Apr 07 13:41:46 +0000 2017,8.50342841683517E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Han Solin,206376531,pos
27,Fri Apr 07 13:41:35 +0000 2017,8.50342794728223E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",monsun,486836841,pos
28,Fri Apr 07 13:42:53 +0000 2017,8.50343119690322E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,John H. Olsen,513051520,pos
29,Fri Apr 07 13:42:47 +0000 2017,8.50343095086481E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,D.W.,2322790898,pos
30,Fri Apr 07 13:42:40 +0000 2017,8.50343068951773E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Marcus Andersson,802954063,pos
31,Fri Apr 07 13:42:28 +0000 2017,8.50343016082661E+017,"RT @TobiasSkoldborg: Enligt obekräftade uppgifter är det skottlossning vid Fridhemsplan..
HÅLL ER INNE!!!",Max Generossi,2750443957,pos
32,Fri Apr 07 13:42:18 +0000 2017,8.50342974223516E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,Jessika Hansson,2271169287,pos
33,Fri Apr 07 13:41:43 +0000 2017,8.50342827003441E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Christian Kruuse,1043383898,pos
34,Fri Apr 07 13:41:40 +0000 2017,8.50342815494279E+017,RT @SweKek: Nu även rapporter om skottlossning i Sthlm. #svpol,Oskar 🇸🇪 Pyttynen,53756721,pos
35,Fri Apr 07 13:41:37 +0000 2017,8.50342804094169E+017,RT @friatider: Nya uppgifter om skottlossning i Stockholms city. Lastbil har dödat minst tre döda enligt @sr_ekot .,Daniel Kristensson,1274837916,pos
36,Fri Apr 07 13:42:58 +0000 2017,8.50343141819507E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Marcus utan C,1927656847,pos
37,Fri Apr 07 13:42:55 +0000 2017,8.50343130419409E+017,RT @David_Sall: Skottlossning vid Fridhemsplan enligt DN,William Wilkens,1376559462,pos
38,Fri Apr 07 13:42:51 +0000 2017,8.50343113059127E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,julia,77516115,pos
39,Fri Apr 07 13:53:35 +0000 2017,8.50345814450991E+017,RT @AlexanderZeBoom: Polisen bekräftar nu skjutning vid Fridhemsplan.,MX Cartoons,25660377,pos
40,Fri Apr 07 13:55:00 +0000 2017,8.5034617135691E+017,Skottlossning vid Fridhemsplan i Stockholm https://t.co/qUYvzJKWn9,Trumpsupporter,8.33918882352157E+017,pos
41,Fri Apr 07 13:57:20 +0000 2017,8.50346758681088E+017,@ZeFonz Skottlossning tydligen...,Cristoffer Glad,2942788959,pos
42,Fri Apr 07 13:36:23 +0000 2017,8.50341486633906E+017,RT @RobinAvellan: SKJUTNING i tunnelbanan enligt uppgifter. Bort därifrån omgående!!!,Peeo Ploff,212873928,pos
43,Fri Apr 07 13:35:02 +0000 2017,8.50341147046281E+017,RT @RobinAvellan: SKJUTNING i tunnelbanan enligt uppgifter. Bort därifrån omgående!!!,Laxanalysen,1662538693,pos
44,Fri Apr 07 13:41:51 +0000 2017,8.50342863527457E+017,Helvete nu är det skottlossning på flera ställen enligt SVT,sure gube,1912163922,pos
45,Fri Apr 07 13:54:00 +0000 2017,8.5034591793286E+017,Kan någon BEKRÄFTA skottlossning?,Laxen,476554928,pos
46,Fri Apr 07 13:55:26 +0000 2017,8.50346281096675E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,James Pond,742976628,pos
47,Fri Apr 07 13:55:07 +0000 2017,8.50346198737277E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Kludia,7.70270814381933E+017,pos
48,Fri Apr 07 13:53:33 +0000 2017,8.50345805420659E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,lucifer✨,483772235,pos
49,Fri Apr 07 13:57:18 +0000 2017,8.50346750175064E+017,"RT @Expressen: JUST NU: Skottlossning vid Fridhemsplan i Stockholm, skriver Dagens Nyheter.
https://t.co/YSDkE6sHHD https://t.co/TsLydSMm4d",Völuspá,293606138,pos
50,Fri Apr 07 13:53:02 +0000 2017,8.50345674747109E+017,"RT @Expressen: JUST NU: Skottlossning vid Fridhemsplan i Stockholm, skriver Dagens Nyheter.
https://t.co/YSDkE6sHHD https://t.co/TsLydSMm4d",Pia,29170969,pos
51,Fri Apr 07 13:57:51 +0000 2017,8.50346887228137E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Amelie Thörnqvist,815495736,pos
52,Fri Apr 07 13:56:41 +0000 2017,8.50346594402796E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,yesim atak,766446973,pos
53,Fri Apr 07 13:55:51 +0000 2017,8.50346383089562E+017,"RT @elin_viberg: Lastbil som kört in i Åhléns, brinner på Drottninggatan. Skottlossning på Fridhemsplan. Vill inte ens tänka på vad som vän…",emelie,210895075,pos
54,Fri Apr 07 13:55:21 +0000 2017,8.50346259542143E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,öberg sanna,575988619,pos
55,Fri Apr 07 13:53:30 +0000 2017,8.50345795010384E+017,RT @BjorklundVictor: Skottlossning på Fridhemsplan nu.,‌Kevın کوین,3385753209,pos
56,Fri Apr 07 13:53:16 +0000 2017,8.50345735602278E+017,"RT @elin_viberg: Lastbil som kört in i Åhléns, brinner på Drottninggatan. Skottlossning på Fridhemsplan. Vill inte ens tänka på vad som vän…",selma,2236836701,pos
57,Fri Apr 07 13:52:46 +0000 2017,8.50345608879755E+017,RT @BjorklundVictor: Skottlossning på Fridhemsplan nu.,CH BUFÉTEN,414995188,pos
58,Fri Apr 07 14:06:13 +0000 2017,8.50348993725026E+017,RT @RobinAvellan: SKJUTNING i tunnelbanan enligt uppgifter. Bort därifrån omgående!!!,Malin Siewer,1307881728,pos
59,Fri Apr 07 13:53:42 +0000 2017,8.50345843991474E+017,"Skottlossning på flertal platser i Stockholm.  Åtlyd Polis, säkerhets ambulans personal",XeQtive CQrity,479002384,pos
60,Fri Apr 07 13:53:39 +0000 2017,8.50345830284501E+017,@kwasbeb Folk på plats vid fridhemsplan har inte hört skottlossning,Marcus utan C,1927656847,neg
61,Fri Apr 07 13:53:35 +0000 2017,8.50345816552296E+017,"Bekräftad skottlossning vid Fridhemsplan o Drottninggatan, enligt Polisen",Rune  Söderlund,530920210,pos
62,Fri Apr 07 13:53:21 +0000 2017,8.50345757852877E+017,@EchoAlenia Det är bekräftat att lastbilen var kapad/stulen tidigare idag. Även skottlossning!,Erik Thunefors,2169901791,pos
63,Fri Apr 07 13:52:52 +0000 2017,8.50345634007745E+017,@callefo Sambon skrev nyss att det var skottlossning där?,Kim Reaper,355388542,pos
64,Fri Apr 07 13:54:41 +0000 2017,8.50346090457162E+017,@radiohuvud Ingen vet om något mer hänt än lastbilen. Ang skottlossning hänvisar alla till DN som hänvisar till tel… https://t.co/YqkFw9XydX,David Häggmark,216102230,pos
65,Fri Apr 07 14:11:14 +0000 2017,8.50350254205612E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Tomas Eliasson,3167033310,pos
66,Fri Apr 07 14:09:36 +0000 2017,8.50349844736733E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,alive,7.59473969527452E+017,pos
67,Fri Apr 07 14:08:35 +0000 2017,8.50349590054416E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Johan Gustavsson,431500838,pos
68,Fri Apr 07 14:08:28 +0000 2017,8.50349561784807E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Johan Granlund,519564985,pos
69,Fri Apr 07 14:07:14 +0000 2017,8.50349249795678E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Robin,2277363860,pos
70,Fri Apr 07 14:07:13 +0000 2017,8.50349247459447E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Gavriel,2971093533,pos
71,Fri Apr 07 14:05:10 +0000 2017,8.50348730280759E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Niklas Eriksson,36318060,pos
72,Fri Apr 07 14:05:07 +0000 2017,8.50348717949551E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Bianca Reichelt,7.48767565996958E+017,pos
73,Fri Apr 07 14:03:56 +0000 2017,8.50348420384608E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Stefan Laurell,65617648,pos
74,Fri Apr 07 14:03:55 +0000 2017,8.50348416521691E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Johan Gärtner,79676954,pos
75,Fri Apr 07 14:03:29 +0000 2017,8.50348304152097E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Christian,362984996,pos
76,Fri Apr 07 14:14:35 +0000 2017,8.50351098103824E+017,"""Misstänkt terrordåd""... Men VAKNA, för bövelen, @sydsvenskan. Lastbil forcerad in i folkmassa, kombinerat med skot… https://t.co/hGI1IQ2Q8Y",Per Hedetun ن,239465676,pos
77,Fri Apr 07 14:07:28 +0000 2017,8.50349309065396E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,Sumppitauko,7.98569556532937E+017,pos
78,Fri Apr 07 14:08:53 +0000 2017,8.50349665954533E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,F,7.75297995294269E+017,pos
79,Fri Apr 07 14:05:24 +0000 2017,8.50348790196433E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Billy Claesson,113614015,pos
80,Fri Apr 07 14:05:17 +0000 2017,8.50348760626495E+017,RT @WR0NGSITUATI0N: skottlossning vid Fridhemsplan!!!! Snälla håll er borta!!,emma,872208372,pos
81,Fri Apr 07 14:04:21 +0000 2017,8.50348523052823E+017,RT @Hans_Franson: @YB_Sodermalm Enl SVT bekräftelse från SÄK att skottlossning skett vid Fridhemsplan.,Fredrik kirderf,509202841,pos
82,Fri Apr 07 14:03:19 +0000 2017,8.50348262104207E+017,"RT @elin_viberg: Lastbil som kört in i Åhléns, brinner på Drottninggatan. Skottlossning på Fridhemsplan. Vill inte ens tänka på vad som vän…",Per,77684343,pos
83,Fri Apr 07 14:27:27 +0000 2017,8.50354335942836E+017,RT @rockspindeln: Skottlossning i Mall of Scandinavia. Är i huset mittemot. Orkar inte världen just nu.,dimpas,487877636,pos
84,Fri Apr 07 14:19:54 +0000 2017,8.5035243671176E+017,RT @ekbohm: Skottlossning på Kungsgatan #säkpol,Anders,984212630,pos
85,Fri Apr 07 14:18:56 +0000 2017,8.50352195287609E+017,RT @Andrefrisk: Skottlossning vid Fridhemsplan. Håll er borta.,Petra Holmström,437531785,pos
86,Fri Apr 07 14:18:06 +0000 2017,8.50351985736004E+017,RT @Nyheterna: Flera personer ska vara döda efter att lastbil körde rakt in bland människor. Även larm om skottlossning.,Maya Santana,786445777,pos
87,Fri Apr 07 14:09:31 +0000 2017,8.50349824906023E+017,"@vargsysterLoL @SEIKE_Kerbera ""Polisen känner till att människor hört skottlossning kring Fridhemsplan och även i Å… https://t.co/iGSSWy66ZK",Akasha Wingates,221833414,pos
88,Fri Apr 07 14:09:30 +0000 2017,8.50349821080875E+017,@Mister_Talos @JohanWendel håll er inomhus. Verkar ha varit Skottlossning på två ställen,RedeyeMannen,3065981866,pos
89,Fri Apr 07 14:11:21 +0000 2017,8.50350284668842E+017,Och det är skottlossning. Hur håller man lugnet???,filippa,2407297986,pos
90,Fri Apr 07 14:06:15 +0000 2017,8.5034900129577E+017,@KamikazeSwede Mjo men sitter mitt vid Stureplan och folk säger att det är skottlossning här,hanna p,153161853,pos
91,Fri Apr 07 14:25:10 +0000 2017,8.50353763323974E+017,Det om skottlossning var fejk? Hittar ingen info. Stay safe alla!,K,19976657,neg
92,Fri Apr 07 14:42:08 +0000 2017,8.503580330793E+017,"RT @AkashaWingates: @vargsysterLoL @SEIKE_Kerbera "" Polis på plats vid Fridhemsplan säger till TT att det inte finns några tecken på att de…",anna,516782579,pos
93,Fri Apr 07 14:25:21 +0000 2017,8.50353808723104E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Random Bot,269097122,pos
94,Fri Apr 07 14:22:03 +0000 2017,8.50352977927959E+017,RT @alexandernoren: Polisen bekräftar skottlossning vid Fridhemsplan https://t.co/Gq5o43kT0i,Gäddan i Vassen,3349816942,pos
95,Fri Apr 07 14:22:00 +0000 2017,8.50352964388758E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Erika Kvarnström,719838204,pos
96,Fri Apr 07 14:20:01 +0000 2017,8.50352465924981E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Mr.CEO_™,3064979021,pos
97,Fri Apr 07 14:17:31 +0000 2017,8.50351836884284E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Naba Saadoun,428180864,pos
98,Fri Apr 07 14:16:07 +0000 2017,8.50351484445364E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Linou Gertz,2535653516,pos
99,Fri Apr 07 14:42:40 +0000 2017,8.50358167154413E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Aino Oxblod,7.15641706398552E+017,neg
100,Fri Apr 07 14:42:14 +0000 2017,8.50358057855062E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Osman Gazi,555430152,neg
101,Fri Apr 07 14:21:23 +0000 2017,8.50352810583609E+017,RT @MotgiftNu: Lastbilen var kapad! SÄPO kallar det för attentat.  Skottlossning vid Fridhemsplan bekräftad! https://t.co/ugImgQ8lqn  #svpo…,Swedish Defiance 🐸,3355512725,pos
102,Fri Apr 07 14:19:58 +0000 2017,8.50352456127177E+017,JUST NU:Larm om skottlossning vid Fridhemsplan är en... https://t.co/kaWwpFYPRu,Barbara Santana,898442239,pos
103,Fri Apr 07 14:15:05 +0000 2017,8.50351223664513E+017,@King0lli Helt obekräftat också men skottlossning i Mall of Scandinavia så håll er borta där med!!!!!!!,Dana Del Rey,723227978,pos
104,Fri Apr 07 14:27:41 +0000 2017,8.5035439615216E+017,@FrameZSwed @polisen_sthlm Fyfan! Läste nått om skottlossning också? 😳😬😰,Linou Gertz,2535653516,pos
105,Fri Apr 07 14:24:34 +0000 2017,8.50353610307379E+017,Det ryktas om skottlossning både på Fridhemsplan och Gamla stan. Kan någon bekräfta?,Tanja T Selfors,1887391476,pos
106,Fri Apr 07 14:24:33 +0000 2017,8.50353607140684E+017,Tydligen bekräftad skottlossning vid Fridhemsplan men behöver i så fall inte ha med Drottninggatan att göra.,IceQube,1349621185,pos
107,Fri Apr 07 14:43:00 +0000 2017,8.50358252466557E+017,Skjutning på Sveavägen och hot mot Sturehof enligt vän på Facebook. Stanna inne! #stockholmattack,Joakim Foureaux,7.08224406598898E+017,pos
108,Fri Apr 07 14:40:55 +0000 2017,8.50357724474995E+017,"Polisen dementerar rapporter om skottlossning vid Fridhemsplan. Håll er säkra ändå, ni som är i närheten. Håll huvudet kallt ❤",Elin,512526077,neg
109,Fri Apr 07 14:40:09 +0000 2017,8.50357533529264E+017,Polisen bekräftar för Expressen att skottlossning ska ha ägt rum vid Hötorget.,Existenz.se,1252841251,pos
110,Fri Apr 07 14:57:52 +0000 2017,8.50361990019252E+017,RT @Republiken: Polisen dementerar rykten om skottlossning. SPRID INTE RYKTEN.,UK Homeopathy Regs,8.00049679903887E+017,neg
111,Fri Apr 07 14:57:46 +0000 2017,8.5036196636758E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Howling Mad Murdock,507967587,neg
112,Fri Apr 07 14:55:00 +0000 2017,8.50361271304237E+017,RT @niklassvensson: Polisen bekräftar för Expressen att skottlossning har ägt rum vid Hötorget,sister alma,487003580,pos
113,Fri Apr 07 14:54:59 +0000 2017,8.50361265545515E+017,RT @Republiken: Polisen dementerar rykten om skottlossning. SPRID INTE RYKTEN.,skräp,1030555514,neg
114,Fri Apr 07 14:53:42 +0000 2017,8.50360943536214E+017,RT @TobiasSkoldborg: Skottlossning vid Fridhemsplan DEMENTERAT av polisen. enl SVT,Nimz,2646491639,neg
115,Fri Apr 07 14:52:56 +0000 2017,8.50360748689814E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,Jenny,7.47555945618768E+017,pos
116,Fri Apr 07 14:52:51 +0000 2017,8.50360729236582E+017,RT @TobiasSkoldborg: Skottlossning vid Fridhemsplan DEMENTERAT av polisen. enl SVT,Anna,82039692,neg
117,Fri Apr 07 14:52:41 +0000 2017,8.50360687146799E+017,"RT @Ivarpi: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Bullshit Detector,8.00135030517338E+017,neg
118,Fri Apr 07 14:51:28 +0000 2017,8.50360383059751E+017,RT @TobiasSkoldborg: Skottlossning vid Fridhemsplan DEMENTERAT av polisen. enl SVT,David Grundström,80528453,neg
119,Fri Apr 07 14:50:43 +0000 2017,8.5036019265928E+017,RT @xwerhelat: Uppgifter om skottlossning på fridhemsplan har dementerats av polisen,Joel Sjödelius,565049013,neg
120,Fri Apr 07 14:50:17 +0000 2017,8.5036008471047E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Bicycle Repairperson,136674782,neg
121,Fri Apr 07 14:50:14 +0000 2017,8.50360072660284E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Johan Hagberg,191835823,neg
122,Fri Apr 07 14:42:09 +0000 2017,8.5035803558751E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,Moa Näsman,2580901186,pos
123,Fri Apr 07 14:41:26 +0000 2017,8.50357854334747E+017,RT @xwerhelat: Uppgifter om skottlossning på fridhemsplan har dementerats av polisen,Angela ૐ  ☽,926109565,neg
124,Fri Apr 07 14:41:15 +0000 2017,8.50357811401945E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,Martin. D.,7.56846578556662E+017,pos
125,Fri Apr 07 14:41:15 +0000 2017,8.50357809455784E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Denniz Sjögren,558400546,neg
126,Fri Apr 07 14:41:05 +0000 2017,8.50357768204816E+017,RT @msigander: Polisen säger till TT att det inte finns några tecken på att det förekommit skottlossning vid #Fridhemsplan,Henrik Palm,20357773,pos
127,Fri Apr 07 14:40:38 +0000 2017,8.5035765523533E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Edward Tovi,2376489415,neg
128,Fri Apr 07 14:40:36 +0000 2017,8.50357646989423E+017,"RT @Ivarpi: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Carl Sidenvall,184861746,neg
129,Fri Apr 07 14:40:36 +0000 2017,8.50357646737768E+017,RT @msigander: Polisen säger till TT att det inte finns några tecken på att det förekommit skottlossning vid #Fridhemsplan,Malena Beijer,274974113,pos
130,Fri Apr 07 14:40:09 +0000 2017,8.50357535110574E+017,"RT @mariageorgieva: Polisen dementerar uppgifterna om skottlossning vid Fridhemsplan i Sthlm, enligt SVT.",Niklas Orrenius,23754741,neg
131,Fri Apr 07 14:39:58 +0000 2017,8.50357485236105E+017,RT @niklassvensson: Polisen bekräftar för Expressen att skottlossning har ägt rum vid Hötorget,Thomas Nordvall,1420185349,pos
132,Fri Apr 07 14:41:59 +0000 2017,8.50357994818818E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Anders Thoresson,11124112,neg
133,Fri Apr 07 14:41:52 +0000 2017,8.50357967178346E+017,RT @niklassvensson: Polisen bekräftar för Expressen att skottlossning har ägt rum vid Hötorget,AbirAlsahlani,18690932,pos
