,datetime,tweetid,text,username,userid,value
987,Fri Apr 07 20:51:26 +0000 2017,8.50450971830489E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",Viktor Runsten,757146944,none
988,Fri Apr 07 20:48:51 +0000 2017,8.50450319473508E+017,RT @beredd: Just nu uppgifter om skottlossning vid Fridhemsplan - SL säger att tunnelbanan är stängd.,MrDnaSwe,8.14848558121779E+017,pos
989,Fri Apr 07 20:45:08 +0000 2017,8.50449384470925E+017,"RT @fraux: Etablerad media: SKOTTLOSSNING ÖVERALLT!!!! Vi måste intervjua chockade människor NU!!!
Twittertroll: kom å sov över, har katt o…",Klara Wallteng,608336549,none
990,Fri Apr 07 21:12:25 +0000 2017,8.50456252496966E+017,"RT @perbj: Journalister jag har stor respekt för spred rykten om skottlossning idag. Alla kan göra misstag i pressade lägen, men lär av det…",anton,1730369101,none
991,Fri Apr 07 20:59:10 +0000 2017,8.50452915915501E+017,RT @axelsandin: Förfärligt med falska rykten om skottlossning tidigare idag mitt i paniken. Det hoppas jag att både vi och redaktionerna lä…,Melker,517458966,neg
992,Fri Apr 07 20:13:53 +0000 2017,8.50441519861551E+017,RT @TobiasSkoldborg: Skottlossning vid Fridhemsplan DEMENTERAT av polisen. enl SVT,Raggy,3017545581,neg
993,Fri Apr 07 20:25:19 +0000 2017,8.5044439550994E+017,"RT @perbj: Journalister jag har stor respekt för spred rykten om skottlossning idag. Alla kan göra misstag i pressade lägen, men lär av det…",Anna Norling,262104558,none
994,Fri Apr 07 21:10:38 +0000 2017,8.50455802565493E+017,"@Trolluggla Ja, en smula. Men också hur mkt obekräftade uppgifter som spreds om bla skottlossning, gripanden etc",Daniel Ekman,21880211,neg
995,Fri Apr 07 21:09:31 +0000 2017,8.50455519949206E+017,"RT @CarlMelin: Jag hoppas de som spred obekräftade rykten om skottlossning runt om i Sthlm lärt en läxa. Ta det lugnt, lyssna på polisen o…",Khashayar Farmanbar,466476061,neg
996,Fri Apr 07 21:14:58 +0000 2017,8.50456892069565E+017,Det har pratats mycket om skottlossningar idag. Polisen kan inte bekräfta några uppgifter om skottlossning i Stockh… https://t.co/tcy9L5Cd6J,Henrik Eriksson,126684376,neg
997,Fri Apr 07 20:38:42 +0000 2017,8.50447764991476E+017,"RT @perbj: Journalister jag har stor respekt för spred rykten om skottlossning idag. Alla kan göra misstag i pressade lägen, men lär av det…",Gustav Svärd,165788474,none
998,Fri Apr 07 20:37:58 +0000 2017,8.50447582358844E+017,"RT @perbj: Journalister jag har stor respekt för spred rykten om skottlossning idag. Alla kan göra misstag i pressade lägen, men lär av det…",Mats Deland,123957814,none
999,Fri Apr 07 20:54:36 +0000 2017,8.504517653173E+017,"@waterconflict Om Niklas Svensson twittrar ""skottlossning på X just nu"" faller varenda test i listan. @msb",Nicklas,3296816314,none
1000,Fri Apr 07 20:50:18 +0000 2017,8.50450685292425E+017,@AndersAhlin @ViktorBanke @SOLisaEriksson @sr_ekot Jo. Misstänkt skottlossning nämndes. Helt säker.,Daniel Andrén,33198408,pos
1001,Fri Apr 07 21:46:59 +0000 2017,8.50464949180781E+017,RT @jonielol: Polisen bekräftar ingen skottlossning ALLS i Stockholm idag,Amanda ͛,1758409392,neg
1002,Fri Apr 07 21:46:59 +0000 2017,8.50464948547465E+017,RT @Republiken: Vad svensk media gjort idag: Ljugit om att polisen bekräftat att skottlossning ägt rum samtidigt som de dementerat det,Marg bar America,2745419016,none
